Position,Level,Salary
level,1.171,0
level,1.172,0
level,1.173,0
level,1.174,0
level,1.175,0
level,1.176,0
level,1.177,0
level,1.178,0
level,1.179,0
level,1.180,0
level,1.181,0
level,1.182,0
level,1.183,0
level,1.184,0
level,1.185,0
level,1.186,0
level,1.187,0
level,1.188,0
level,1.189,0
level,1.190,0
level,1.191,0
level,1.192,0
level,1.193,0
level,1.194,0
level,1.195,0
level,1.196,0
level,1.197,0
level,1.198,0
level,1.199,0
level,1.200,0
level,1.201,0
level,1.202,0
level,1.203,0
level,1.204,0
level,1.205,0
level,1.206,0
level,1.207,0
level,1.208,0
level,1.209,0
level,1.210,0
level,1.211,0
level,1.212,0
level,1.213,0
level,1.214,0
level,1.215,0
level,1.216,0
level,1.217,0
level,1.218,0
level,1.219,0
level,1.220,0
level,1.221,0
level,1.222,0
level,1.223,0
level,1.224,0
level,1.225,0
level,1.226,0
level,1.227,0
level,1.228,0
level,1.229,0
level,1.230,0
level,1.231,0
level,1.232,0
level,1.233,0
level,1.234,0
level,1.235,0
level,1.236,0
level,1.237,0
level,1.238,0
level,1.239,0
level,1.240,0
level,1.241,0
level,1.242,0
level,1.243,0
level,1.244,0
level,1.245,0
level,1.246,0
level,1.247,0
level,1.248,0
level,1.249,0
level,1.250,0
level,1.251,0
level,1.252,0
level,1.253,0
level,1.254,0
level,1.255,0
level,1.256,0
level,1.257,0
level,1.258,0
level,1.259,0
level,1.260,0
level,1.261,0
level,1.262,0
level,1.263,0
level,1.264,0
level,1.265,0
level,1.266,0
level,1.267,0
level,1.268,0
level,1.269,0
level,1.270,0
level,1.271,0
level,1.272,0
level,1.273,0
level,1.274,0
level,1.275,0
level,1.276,0
level,1.277,0
level,1.278,0
level,1.279,0
level,1.280,0
level,1.281,0
level,1.282,0
level,1.283,0
level,1.284,0
level,1.285,0
level,1.286,0
level,1.287,0
level,1.288,0
level,1.289,0
level,1.290,0
level,1.291,0
level,1.292,0
level,1.293,0
level,1.294,0
level,1.295,0
level,1.296,0
level,1.297,0
level,1.298,0
level,1.299,0
level,1.300,0
level,1.301,0
level,1.302,0
level,1.303,0
level,1.304,0
level,1.305,0
level,1.306,0
level,1.307,0
level,1.308,0
level,1.309,0
level,1.310,0
level,1.311,0
level,1.312,0
level,1.313,0
level,1.314,0
level,1.315,0
level,1.316,0
level,1.317,0
level,1.318,0
level,1.319,0
level,1.320,0
level,1.321,0
level,1.322,0
level,1.323,0
level,1.324,0
level,1.325,0
level,1.326,0
level,1.327,0
level,1.328,0
level,1.329,0
level,1.330,0
level,1.331,0
level,1.332,0
level,1.333,0
level,1.334,0
level,1.335,0
level,1.336,0
level,1.337,0
level,1.338,0
level,1.339,0
level,1.340,0
level,1.341,0
level,1.342,0
level,1.343,0
level,1.344,0
level,1.345,0
level,1.346,0
level,1.347,0
level,1.348,0
level,1.349,0
level,1.350,0
level,1.351,0
level,1.352,0
level,1.353,0
level,1.354,0
level,1.355,0
level,1.356,0
level,1.357,0
level,1.358,0
level,1.359,0
level,1.360,0
level,1.361,0
level,1.362,0
level,1.363,0
level,1.364,0
level,1.365,0
level,1.366,0
level,1.367,0
level,1.368,0
level,1.369,0
level,1.370,0
level,1.371,0
level,1.372,0
level,1.373,0
level,1.374,0
level,1.375,0
level,1.376,0
level,1.377,0
level,1.378,0
level,1.379,0
level,1.380,0
level,1.381,0
level,1.382,0
level,1.383,0
level,1.384,0
level,1.385,0
level,1.386,0
level,1.387,0
level,1.388,0
level,1.389,0
level,1.390,0
level,1.391,0
level,1.392,0
level,1.393,0
level,1.394,0
level,1.395,0
level,1.396,0
level,1.397,0
level,1.398,0
level,1.399,0
level,1.400,0
level,1.401,0
level,1.402,0
level,1.403,0
level,1.404,0
level,1.405,0
level,1.406,0
level,1.407,0
level,1.408,0
level,1.409,0
level,1.410,0
level,1.411,0
level,1.412,0
level,1.413,0
level,1.414,0
level,1.415,0
level,1.416,0
level,1.417,0
level,1.418,0
level,1.419,0
level,1.420,0
level,1.421,0
level,1.422,0
level,1.423,0
level,1.424,0
level,1.425,0
level,1.426,0
level,1.427,0
level,1.428,0
level,1.429,0
level,1.430,0
level,1.431,0
level,1.432,0
level,1.433,0
level,1.434,0
level,1.435,0
level,1.436,0
level,1.437,0
level,1.438,0
level,1.439,0
level,1.440,0
level,1.441,0
level,1.442,0
level,1.443,0
level,1.444,0
level,1.445,0
level,1.446,0
level,1.447,0
level,1.448,0
level,1.449,0
level,1.450,0
level,1.451,0
level,1.452,0
level,1.453,0
level,1.454,0
level,1.455,0
level,1.456,0
level,1.457,0
level,1.458,0
level,1.459,0
level,1.460,0
level,1.461,0
level,1.462,0
level,1.463,0
level,1.464,0
level,1.465,0
level,1.466,0
level,1.467,0
level,1.468,0
level,1.469,0
level,1.470,0
level,1.471,0
level,1.472,0
level,1.473,0
level,1.474,0
level,1.475,0
level,1.476,0
level,1.477,0
level,1.478,0
level,1.479,0
level,1.480,0
level,1.481,0
level,1.482,0
level,1.483,0
level,1.484,0
level,1.485,0
level,1.486,0
level,1.487,0
level,1.488,0
level,1.489,0
level,1.490,0
level,1.491,0
level,1.492,0
level,1.493,0
level,1.494,0
level,1.495,0
level,1.496,0
level,1.497,0
level,1.498,0
level,1.499,0
level,1.500,0
level,1.501,0
level,1.502,0
level,1.503,0
level,1.504,0
level,1.505,0
level,1.506,0
level,1.507,0
level,1.508,0
level,1.509,0
level,1.510,0
level,1.511,0
level,1.512,0
level,1.513,0
level,1.514,0
level,1.515,0
level,1.516,0
level,1.517,0
level,1.518,0
level,1.519,0
level,1.520,0
level,1.521,0
level,1.522,0
level,1.523,0
level,1.524,0
level,1.525,0
level,1.526,0
level,1.527,0
level,1.528,0
level,1.529,0
level,1.530,0
level,1.531,0
level,1.532,0
level,1.533,0
level,1.534,0
level,1.535,0
level,1.536,0
level,1.537,0
level,1.538,0
level,1.539,0
level,1.540,0
level,1.541,0
level,1.542,0
level,1.543,0
level,1.544,0
level,1.545,0
level,1.546,0
level,1.547,0
level,1.548,0
level,1.549,0
level,1.550,0
level,1.551,0
level,1.552,0
level,1.553,0
level,1.554,0
level,1.555,0
level,1.556,0
level,1.557,0
level,1.558,0
level,1.559,0
level,1.560,0
level,1.561,0
level,1.562,0
level,1.563,0
level,1.564,0
level,1.565,0
level,1.566,0
level,1.567,0
level,1.568,0
level,1.569,0
level,1.570,0
level,1.571,0
level,1.572,0
level,1.573,0
level,1.574,0
level,1.575,0
level,1.576,0
level,1.577,0
level,1.578,0
level,1.579,0
level,1.580,0
level,1.581,0
level,1.582,0
level,1.583,0
level,1.584,0
level,1.585,0
level,1.586,0
level,1.587,0
level,1.588,0
level,1.589,0
level,1.590,0
level,1.591,0
level,1.592,0
level,1.593,0
level,1.594,0
level,1.595,0
level,1.596,0
level,1.597,0
level,1.598,0
level,1.599,0
level,1.600,0
level,1.601,0
level,1.602,0
level,1.603,0
level,1.604,0
level,1.605,0
level,1.606,0
level,1.607,0
level,1.608,0
level,1.609,0
level,1.610,0
level,1.611,0
level,1.612,0
level,1.613,0
level,1.614,0
level,1.615,0
level,1.616,0
level,1.617,0
level,1.618,0
level,1.619,0
level,1.620,0
level,1.621,0
level,1.622,0
level,1.623,0
level,1.624,0
level,1.625,0
level,1.626,0
level,1.627,0
level,1.628,0
level,1.629,0
level,1.630,0
level,1.631,0
level,1.632,0
level,1.633,0
level,1.634,0
level,1.635,0
level,1.636,0
level,1.637,0
level,1.638,0
level,1.639,0
level,1.640,0
level,1.641,0
level,1.642,0
level,1.643,0
level,1.644,0
level,1.645,0
level,1.646,0
level,1.647,0
level,1.648,0
level,1.649,0
level,1.650,0
level,1.651,0
level,1.652,0
level,1.653,0
level,1.654,0
level,1.655,0
level,1.656,0
level,1.657,0
level,1.658,0
level,1.659,0
level,1.660,0
level,1.661,0
level,1.662,0
level,1.663,0
level,1.664,0
level,1.665,0
level,1.666,0
level,1.667,0
level,1.668,0
level,1.669,0
level,1.670,0
level,1.671,0
level,1.672,0
level,1.673,0
level,1.674,0
level,1.675,0
level,1.676,0
level,1.677,0
level,1.678,0
level,1.679,0
level,1.680,0
level,1.681,0
level,1.682,0
level,1.683,0
level,1.684,0
level,1.685,0
level,1.686,0
level,1.687,0
level,1.688,0
level,1.689,0
level,1.690,0
level,1.691,0
level,1.692,0
level,1.693,0
level,1.694,0
level,1.695,0
level,1.696,0
level,1.697,0
level,1.698,0
level,1.699,0
level,1.700,0
level,1.701,0
level,1.702,0
level,1.703,0
level,1.704,0
level,1.705,0
level,1.706,0
level,1.707,0
level,1.708,0
level,1.709,0
level,1.710,0
level,1.711,0
level,1.712,0
level,1.713,0
level,1.714,0
level,1.715,0
level,1.716,0
level,1.717,0
level,1.718,0
level,1.719,0
level,1.720,0
level,1.721,0
level,1.722,0
level,1.723,0
level,1.724,0
level,1.725,0
level,1.726,0
level,1.727,0
level,1.728,0
level,1.729,0
level,1.730,0
level,1.731,0
level,1.732,0
level,1.733,0
level,1.734,0
level,1.735,0
level,1.736,0
level,1.737,0
level,1.738,0
level,1.739,0
level,1.740,0
level,1.741,0
level,1.742,0
level,1.743,0
level,1.744,0
level,1.745,0
level,1.746,0
level,1.747,0
level,1.748,0
level,1.749,0
level,1.750,0
level,1.751,0
level,1.752,0
level,1.753,0
level,1.754,0
level,1.755,0
level,1.756,0
level,1.757,0
level,1.758,0
level,1.759,0
level,1.760,0
level,1.761,0
level,1.762,0
level,1.763,0
level,1.764,0
level,1.765,0
level,1.766,0
level,1.767,0
level,1.768,0
level,1.769,0
level,1.770,0
level,1.771,0
level,1.772,0
level,1.773,0
level,1.774,0
level,1.775,0
level,1.776,0
level,1.777,0
level,1.778,0
level,1.779,0
level,1.780,0
level,1.781,0
level,1.782,0
level,1.783,0
level,1.784,0
level,1.785,0
level,1.786,0
level,1.787,0
level,1.788,0
level,1.789,0
level,1.790,0
level,1.791,0
level,1.792,0
level,1.793,0
level,1.794,0
level,1.795,0
level,1.796,0
level,1.797,0
level,1.798,0
level,1.799,0
level,1.800,0
level,1.801,0
level,1.802,0
level,1.803,0
level,1.804,0
level,1.805,0
level,1.806,0
level,1.807,0
level,1.808,0
level,1.809,0
level,1.810,0
level,1.811,0
level,1.812,0
level,1.813,0
level,1.814,0
level,1.815,0
level,1.816,0
level,1.817,0
level,1.818,0
level,1.819,0
level,1.820,0
level,1.821,0
level,1.822,0
level,1.823,0
level,1.824,0
level,1.825,0
level,1.826,0
level,1.827,0
level,1.828,0
level,1.829,0
level,1.830,0
level,1.831,0
level,1.832,0
level,1.833,0
level,1.834,0
level,1.835,0
level,1.836,0
level,1.837,0
level,1.838,0
level,1.839,0
level,1.840,0
level,1.841,0
level,1.842,0
level,1.843,0
level,1.844,0
level,1.845,0
level,1.846,0
level,1.847,0
level,1.848,0
level,1.849,0
level,1.850,0
level,1.851,0
level,1.852,0
level,1.853,0
level,1.854,0
level,1.855,0
level,1.856,0
level,1.857,0
level,1.858,0
level,1.859,0
level,1.860,0
level,1.861,0
level,1.862,0
level,1.863,0
level,1.864,0
level,1.865,0
level,1.866,0
level,1.867,0
level,1.868,0
level,1.869,0
level,1.870,0
level,1.871,0
level,1.872,0
level,1.873,0
level,1.874,0
level,1.875,0
level,1.876,0
level,1.877,0
level,1.878,0
level,1.879,0
level,1.880,0
level,1.881,0
level,1.882,0
level,1.883,0
level,1.884,0
level,1.885,0
level,1.886,0
level,1.887,0
level,1.888,0
level,1.889,0
level,1.890,0
level,1.891,0
level,1.892,0
level,1.893,0
level,1.894,0
level,1.895,0
level,1.896,0
level,1.897,0
level,1.898,0
level,1.899,0
level,1.900,0
level,1.901,0
level,1.902,0
level,1.903,0
level,1.904,0
level,1.905,0
level,1.906,0
level,1.907,0
level,1.908,0
level,1.909,0
level,1.910,0
level,1.911,0
level,1.912,0
level,1.913,0
level,1.914,0
level,1.915,0
level,1.916,0
level,1.917,0
level,1.918,0
level,1.919,0
level,1.920,0
level,1.921,0
level,1.922,0
level,1.923,0
level,1.924,0
level,1.925,0
level,1.926,0
level,1.927,0
level,1.928,0
level,1.929,0
level,1.930,0
level,1.931,0
level,1.932,0
level,1.933,0
level,1.934,0
level,1.935,0
level,1.936,0
level,1.937,0
level,1.938,0
level,1.939,0
level,1.940,0
level,1.941,0
level,1.942,0
level,1.943,0
level,1.944,0
level,1.945,0
level,1.946,0
level,1.947,0
level,1.948,0
level,1.949,0
level,1.950,0
level,1.951,0
level,1.952,0
level,1.953,0
level,1.954,0
level,1.955,0
level,1.956,0
level,1.957,0
level,1.958,0
level,1.959,0
level,1.960,0
level,1.961,0
level,1.962,0
level,1.963,0
level,1.964,0
level,1.965,0
level,1.966,0
level,1.967,0
level,1.968,0
level,1.969,0
level,1.970,0
level,1.971,0
level,1.972,0
level,1.973,0
level,1.974,0
level,1.975,0
level,1.976,0
level,1.977,0
level,1.978,0
level,1.979,0
level,1.980,0
level,1.981,0
level,1.982,0
level,1.983,0
level,1.984,0
level,1.985,0
level,1.986,0
level,1.987,0
level,1.988,0
level,1.989,0
level,1.990,0
level,1.991,0
level,1.992,0
level,1.993,0
level,1.994,0
level,1.995,0
level,1.996,0
level,1.997,0
level,1.998,0
level,1.999,0
level,2.000,0
level,2.001,0
level,2.002,0
level,2.003,0
level,2.004,0
level,2.005,0
level,2.006,0
level,2.007,0
level,2.008,0
level,2.009,0
level,2.010,0
level,2.011,0
level,2.012,0
level,2.013,0
level,2.014,0
level,2.015,0
level,2.016,0
level,2.017,0
level,2.018,0
level,2.019,0
level,2.020,0
level,2.021,0
level,2.022,0
level,2.023,0
level,2.024,0
level,2.025,0
level,2.026,0
level,2.027,0
level,2.028,0
level,2.029,0
level,2.030,0
level,2.031,0
level,2.032,0
level,2.033,0
level,2.034,0
level,2.035,0
level,2.036,0
level,2.037,0
level,2.038,0
level,2.039,0
level,2.040,0
level,2.041,0
level,2.042,0
level,2.043,0
level,2.044,0
level,2.045,0
level,2.046,0
level,2.047,0
level,2.048,0
level,2.049,0
level,2.050,0
level,2.051,0
level,2.052,0
level,2.053,0
level,2.054,0
level,2.055,0
level,2.056,0
level,2.057,0
level,2.058,0
level,2.059,0
level,2.060,0
level,2.061,0
level,2.062,0
level,2.063,0
level,2.064,0
level,2.065,0
level,2.066,0
level,2.067,0
level,2.068,0
level,2.069,0
level,2.070,0
level,2.071,0
level,2.072,0
level,2.073,0
level,2.074,0
level,2.075,0
level,2.076,0
level,2.077,0
level,2.078,0
level,2.079,0
level,2.080,0
level,2.081,0
level,2.082,0
level,2.083,0
level,2.084,0
level,2.085,0
level,2.086,0
level,2.087,0
level,2.088,0
level,2.089,0
level,2.090,0
level,2.091,0
level,2.092,0
level,2.093,0
level,2.094,0
level,2.095,0
level,2.096,0
level,2.097,0
level,2.098,0
level,2.099,0
level,2.100,0
level,2.101,0
level,2.102,0
level,2.103,0
level,2.104,0
level,2.105,0
level,2.106,0
level,2.107,0
level,2.108,0
level,2.109,0
level,2.110,0
level,2.111,0
level,2.112,0
level,2.113,0
level,2.114,0
level,2.115,0
level,2.116,0
level,2.117,0
level,2.118,0
level,2.119,0
level,2.120,0
level,2.121,0
level,2.122,0
level,2.123,0
level,2.124,0
level,2.125,0
level,2.126,0
level,2.127,0
level,2.128,0
level,2.129,0
level,2.130,0
level,2.131,0
level,2.132,0
level,2.133,0
level,2.134,0
level,2.135,0
level,2.136,0
level,2.137,0
level,2.138,0
level,2.139,0
level,2.140,0
level,2.141,0
level,2.142,0
level,2.143,0
level,2.144,0
level,2.145,0
level,2.146,0
level,2.147,0
level,2.148,0
level,2.149,0
level,2.150,0
level,2.151,0
level,2.152,0
level,2.153,0
level,2.154,0
level,2.155,0
level,2.156,0
level,2.157,0
level,2.158,0
level,2.159,0
level,2.160,0
level,2.161,0
level,2.162,0
level,2.163,0
level,2.164,0
level,2.165,0
level,2.166,0
level,2.167,0
level,2.168,0
level,2.169,0
level,2.170,0
level,2.171,0
level,2.172,0
level,2.173,0
level,2.174,0
level,2.175,0
level,2.176,0
level,2.177,0
level,2.178,0
level,2.179,0
level,2.180,0
level,2.181,0
level,2.182,0
level,2.183,0
level,2.184,0
level,2.185,0
level,2.186,0
level,2.187,0
level,2.188,0
level,2.189,0
level,2.190,0
level,2.191,0
level,2.192,0
level,2.193,0
level,2.194,0
level,2.195,0
level,2.196,0
level,2.197,0
level,2.198,0
level,2.199,0
level,2.200,0
level,2.201,0
level,2.202,0
level,2.203,0
level,2.204,0
level,2.205,0
level,2.206,0
level,2.207,0
level,2.208,0
level,2.209,0
level,2.210,0
level,2.211,0
level,2.212,0
level,2.213,0
level,2.214,0
level,2.215,0
level,2.216,0
level,2.217,0
level,2.218,0
level,2.219,0
level,2.220,0
level,2.221,0
level,2.222,0
level,2.223,0
level,2.224,0
level,2.225,0
level,2.226,0
level,2.227,0
level,2.228,0
level,2.229,0
level,2.230,0
level,2.231,0
level,2.232,0
level,2.233,0
level,2.234,0
level,2.235,0
level,2.236,0
level,2.237,0
level,2.238,0
level,2.239,0
level,2.240,0
level,2.241,0
level,2.242,0
level,2.243,0
level,2.244,0
level,2.245,0
level,2.246,0
level,2.247,0
level,2.248,0
level,2.249,0
level,2.250,0
level,2.251,0
level,2.252,0
level,2.253,0
level,2.254,0
level,2.255,0
level,2.256,0
level,2.257,0
level,2.258,0
level,2.259,0
level,2.260,0
level,2.261,0
level,2.262,0
level,2.263,0
level,2.264,0
level,2.265,0
level,2.266,0
level,2.267,0
level,2.268,0
level,2.269,0
level,2.270,0
level,2.271,0
level,2.272,0
level,2.273,0
level,2.274,0
level,2.275,0
level,2.276,0
level,2.277,0
level,2.278,0
level,2.279,0
level,2.280,0
level,2.281,0
level,2.282,0
level,2.283,0
level,2.284,0
level,2.285,0
level,2.286,0
level,2.287,0
level,2.288,0
level,2.289,0
level,2.290,0
level,2.291,0
level,2.292,0
level,2.293,0
level,2.294,0
level,2.295,0
level,2.296,0
level,2.297,0
level,2.298,0
level,2.299,0
level,2.300,0
level,2.301,0
level,2.302,0
level,2.303,0
level,2.304,0
level,2.305,0
level,2.306,0
level,2.307,0
level,2.308,0
level,2.309,0
level,2.310,0
level,2.311,0
level,2.312,0
level,2.313,0
level,2.314,0
level,2.315,0
level,2.316,0
level,2.317,0
level,2.318,0
level,2.319,0
level,2.320,0
level,2.321,0
level,2.322,0
level,2.323,0
level,2.324,0
level,2.325,0
level,2.326,0
level,2.327,0
level,2.328,0
level,2.329,0
level,2.330,0
level,2.331,0
level,2.332,0
level,2.333,0
level,2.334,0
level,2.335,0
level,2.336,0
level,2.337,0
level,2.338,0
level,2.339,0
level,2.340,0
level,2.341,0
level,2.342,0
level,2.343,0
level,2.344,0
level,2.345,0
level,2.346,0
level,2.347,0
level,2.348,0
level,2.349,0
level,2.350,0
level,2.351,0
level,2.352,0
level,2.353,0
level,2.354,0
level,2.355,0
level,2.356,0
level,2.357,0
level,2.358,0
level,2.359,0
level,2.360,0
level,2.361,0
level,2.362,0
level,2.363,0
level,2.364,0
level,2.365,0
level,2.366,0
level,2.367,0
level,2.368,0
level,2.369,0
level,2.370,0
level,2.371,0
level,2.372,0
level,2.373,0
level,2.374,0
level,2.375,0
level,2.376,0
level,2.377,0
level,2.378,0
level,2.379,0
level,2.380,0
level,2.381,0
level,2.382,0
level,2.383,0
level,2.384,0
level,2.385,0
level,2.386,0
level,2.387,0
level,2.388,0
level,2.389,0
level,2.390,0
level,2.391,0
level,2.392,0
level,2.393,0
level,2.394,0
level,2.395,0
level,2.396,0
level,2.397,0
level,2.398,0
level,2.399,0
level,2.400,0
level,2.401,0
level,2.402,0
level,2.403,0
level,2.404,0
level,2.405,0
level,2.406,0
level,2.407,0
level,2.408,0
level,2.409,0
level,2.410,0
level,2.411,0
level,2.412,0
level,2.413,0
level,2.414,0
level,2.415,0
level,2.416,0
level,2.417,0
level,2.418,0
level,2.419,0
level,2.420,0
level,2.421,0
level,2.422,0
level,2.423,0
level,2.424,0
level,2.425,0
level,2.426,0
level,2.427,0
level,2.428,0
level,2.429,0
level,2.430,0
level,2.431,0
level,2.432,0
level,2.433,0
level,2.434,0
level,2.435,0
level,2.436,0
level,2.437,0
level,2.438,0
level,2.439,0
level,2.440,0
level,2.441,0
level,2.442,0
level,2.443,0
level,2.444,0
level,2.445,0
level,2.446,0
level,2.447,0
level,2.448,0
level,2.449,0
level,2.450,0
level,2.451,0
level,2.452,0
level,2.453,0
level,2.454,0
level,2.455,0
level,2.456,0
level,2.457,0
level,2.458,0
level,2.459,0
level,2.460,0
level,2.461,0
level,2.462,0
level,2.463,0
level,2.464,0
level,2.465,0
level,2.466,0
level,2.467,0
level,2.468,0
level,2.469,0
level,2.470,0
level,2.471,0
level,2.472,0
level,2.473,0
level,2.474,0
level,2.475,0
level,2.476,0
level,2.477,0
level,2.478,0
level,2.479,0
level,2.480,0
level,2.481,0
level,2.482,0
level,2.483,0
level,2.484,0
level,2.485,0
level,2.486,0
level,2.487,0
level,2.488,0
level,2.489,0
level,2.490,0
level,2.491,0
level,2.492,0
level,2.493,0
level,2.494,0
level,2.495,0
level,2.496,0
level,2.497,0
level,2.498,0
level,2.499,0
level,2.500,0
level,2.501,0
level,2.502,0
level,2.503,0
level,2.504,0
level,2.505,0
level,2.506,0
level,2.507,0
level,2.508,0
level,2.509,0
level,2.510,0
level,2.511,0
level,2.512,0
level,2.513,0
level,2.514,0
level,2.515,0
level,2.516,0
level,2.517,0
level,2.518,0
level,2.519,0
level,2.520,0
level,2.521,0
level,2.522,0
level,2.523,0
level,2.524,0
level,2.525,0
level,2.526,0
level,2.527,0
level,2.528,0
level,2.529,0
level,2.530,0
level,2.531,0
level,2.532,0
level,2.533,0
level,2.534,0
level,2.535,0
level,2.536,0
level,2.537,0
level,2.538,0
level,2.539,0
level,2.540,0
level,2.541,0
level,2.542,0
level,2.543,0
level,2.544,0
level,2.545,0
level,2.546,0
level,2.547,0
level,2.548,0
level,2.549,0
level,2.550,0
level,2.551,0
level,2.552,0
level,2.553,0
level,2.554,0
level,2.555,0
level,2.556,0
level,2.557,0
level,2.558,0
level,2.559,0
level,2.560,0
level,2.561,0
level,2.562,0
level,2.563,0
level,2.564,0
level,2.565,0
level,2.566,0
level,2.567,0
level,2.568,0
level,2.569,0
level,2.570,0
level,2.571,0
level,2.572,0
level,2.573,0
level,2.574,0
level,2.575,0
level,2.576,0
level,2.577,0
level,2.578,0
level,2.579,0
level,2.580,0
level,2.581,0
level,2.582,0
level,2.583,0
level,2.584,0
level,2.585,0
level,2.586,0
level,2.587,0
level,2.588,0
level,2.589,0
level,2.590,0
level,2.591,0
level,2.592,0
level,2.593,0
level,2.594,0
level,2.595,0
level,2.596,0
level,2.597,0
level,2.598,0
level,2.599,0
level,2.600,0
level,2.601,0
level,2.602,0
level,2.603,0
level,2.604,0
level,2.605,0
level,2.606,0
level,2.607,0
level,2.608,0
level,2.609,0
level,2.610,0
level,2.611,0
level,2.612,0
level,2.613,0
level,2.614,0
level,2.615,0
level,2.616,0
level,2.617,0
level,2.618,0
level,2.619,0
level,2.620,0
level,2.621,0
level,2.622,0
level,2.623,0
level,2.624,0
level,2.625,0
level,2.626,0
level,2.627,0
level,2.628,0
level,2.629,0
level,2.630,0
level,2.631,0
level,2.632,0
level,2.633,0
level,2.634,0
level,2.635,0
level,2.636,0
level,2.637,0
level,2.638,0
level,2.639,0
level,2.640,0
level,2.641,0
level,2.642,0
level,2.643,0
level,2.644,0
level,2.645,0
level,2.646,0
level,2.647,0
level,2.648,0
level,2.649,0
level,2.650,0
level,2.651,0
level,2.652,0
level,2.653,0
level,2.654,0
level,2.655,0
level,2.656,0
level,2.657,0
level,2.658,0
level,2.659,0
level,2.660,0
level,2.661,0
level,2.662,0
level,2.663,0
level,2.664,0
level,2.665,0
level,2.666,0
level,2.667,0
level,2.668,0
level,2.669,0
level,2.670,0
level,2.671,0
level,2.672,0
level,2.673,0
level,2.674,0
level,2.675,0
level,2.676,0
level,2.677,0
level,2.678,0
level,2.679,0
level,2.680,0
level,2.681,0
level,2.682,0
level,2.683,0
level,2.684,0
level,2.685,0
level,2.686,0
level,2.687,0
level,2.688,0
level,2.689,0
level,2.690,0
level,2.691,0
level,2.692,0
level,2.693,0
level,2.694,0
level,2.695,0
level,2.696,0
level,2.697,0
level,2.698,0
level,2.699,0
level,2.700,0
level,2.701,0
level,2.702,0
level,2.703,0
level,2.704,0
level,2.705,0
level,2.706,0
level,2.707,0
level,2.708,0
level,2.709,0
level,2.710,0
level,2.711,0
level,2.712,0
level,2.713,0
level,2.714,0
level,2.715,0
level,2.716,0
level,2.717,0
level,2.718,0
level,2.719,0
level,2.720,0
level,2.721,0
level,2.722,0
level,2.723,0
level,2.724,0
level,2.725,0
level,2.726,0
level,2.727,0
level,2.728,0
level,2.729,0
level,2.730,0
level,2.731,0
level,2.732,0
level,2.733,0
level,2.734,0
level,2.735,0
level,2.736,0
level,2.737,0
level,2.738,0
level,2.739,0
level,2.740,0
level,2.741,0
level,2.742,0
level,2.743,0
level,2.744,0
level,2.745,0
level,2.746,0
